date,company,category,value,source
2009-01-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,11790957.0,modalidad
2009-02-01,CONECEL S.A.,PREPAGO,7410599.0,modalidad
2009-02-01,CONECEL S.A.,POSPAGO,945573.0,modalidad
2009-02-01,CONECEL S.A.,TTUP,32362.0,modalidad
2009-02-01,CONECEL S.A.,TOTAL_EMPRESA,8388534.0,modalidad
2009-02-01,CONECEL S.A.,CHECK_SUM_MODALIDADES,8388534.0,modalidad
2009-02-01,OTECEL S.A.,PREPAGO,2621078.0,modalidad
2009-02-01,OTECEL S.A.,POSPAGO,468235.0,modalidad
2009-02-01,OTECEL S.A.,TTUP,87189.0,modalidad
2009-02-01,OTECEL S.A.,TOTAL_EMPRESA,3176502.0,modalidad
2009-02-01,OTECEL S.A.,CHECK_SUM_MODALIDADES,3176502.0,modalidad
2009-02-01,CNT EP,PREPAGO,239991.0,modalidad
2009-02-01,CNT EP,POSPAGO,65953.0,modalidad
2009-02-01,CNT EP,TTUP,28397.0,modalidad
2009-02-01,CNT EP,TOTAL_EMPRESA,334341.0,modalidad
2009-02-01,CNT EP,CHECK_SUM_MODALIDADES,334341.0,modalidad
2009-02-01,TOTAL_MERCADO,TOTAL_MERCADO,11899377.0,modalidad
2009-02-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,11899377.0,modalidad
2009-03-01,CONECEL S.A.,PREPAGO,7476774.0,modalidad
2009-03-01,CONECEL S.A.,POSPAGO,955898.0,modalidad
2009-03-01,CONECEL S.A.,TTUP,30862.0,modalidad
2009-03-01,CONECEL S.A.,TOTAL_EMPRESA,8463534.0,modalidad
2009-03-01,CONECEL S.A.,CHECK_SUM_MODALIDADES,8463534.0,modalidad
2009-03-01,OTECEL S.A.,PREPAGO,2630575.0,modalidad
2009-03-01,OTECEL S.A.,POSPAGO,546126.0,modalidad
2009-03-01,OTECEL S.A.,TTUP,80998.0,modalidad
2009-03-01,OTECEL S.A.,TOTAL_EMPRESA,3257699.0,modalidad
2009-03-01,OTECEL S.A.,CHECK_SUM_MODALIDADES,3257699.0,modalidad
2009-03-01,CNT EP,PREPAGO,239991.0,modalidad
2009-03-01,CNT EP,POSPAGO,65953.0,modalidad
2009-03-01,CNT EP,TTUP,28397.0,modalidad
2009-03-01,CNT EP,TOTAL_EMPRESA,334341.0,modalidad
2009-03-01,CNT EP,CHECK_SUM_MODALIDADES,334341.0,modalidad
2009-03-01,TOTAL_MERCADO,TOTAL_MERCADO,12055574.0,modalidad
2009-03-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,12055574.0,modalidad
2009-04-01,CONECEL S.A.,PREPAGO,7547727.0,modalidad
2009-04-01,CONECEL S.A.,POSPAGO,962465.0,modalidad
2009-04-01,CONECEL S.A.,TTUP,30862.0,modalidad
2009-04-01,CONECEL S.A.,TOTAL_EMPRESA,8541054.0,modalidad
2009-04-01,CONECEL S.A.,CHECK_SUM_MODALIDADES,8541054.0,modalidad
2009-04-01,OTECEL S.A.,PREPAGO,2630702.0,modalidad
2009-04-01,OTECEL S.A.,POSPAGO,551002.0,modalidad
2009-04-01,OTECEL S.A.,TTUP,80998.0,modalidad
2009-04-01,OTECEL S.A.,TOTAL_EMPRESA,3262702.0,modalidad
2009-04-01,OTECEL S.A.,CHECK_SUM_MODALIDADES,3262702.0,modalidad
2009-04-01,CNT EP,PREPAGO,234534.0,modalidad
2009-04-01,CNT EP,POSPAGO,64047.0,modalidad
2009-04-01,CNT EP,TTUP,32675.0,modalidad
2009-04-01,CNT EP,TOTAL_EMPRESA,331256.0,modalidad
2009-04-01,CNT EP,CHECK_SUM_MODALIDADES,331256.0,modalidad
2009-04-01,TOTAL_MERCADO,TOTAL_MERCADO,12135012.0,modalidad
2009-04-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,12135012.0,modalidad
2009-05-01,CONECEL S.A.,PREPAGO,7623908.0,modalidad
2009-05-01,CONECEL S.A.,POSPAGO,976811.0,modalidad
2009-05-01,CONECEL S.A.,TTUP,30862.0,modalidad
2009-05-01,CONECEL S.A.,TOTAL_EMPRESA,8631581.0,modalidad
2009-05-01,CONECEL S.A.,CHECK_SUM_MODALIDADES,8631581.0,modalidad
2009-05-01,OTECEL S.A.,PREPAGO,2749282.0,modalidad
2009-05-01,OTECEL S.A.,POSPAGO,474993.0,modalidad
2009-05-01,OTECEL S.A.,TTUP,83354.0,modalidad
2009-05-01,OTECEL S.A.,TOTAL_EMPRESA,3307629.0,modalidad
2009-05-01,OTECEL S.A.,CHECK_SUM_MODALIDADES,3307629.0,modalidad
2009-05-01,CNT EP,PREPAGO,241626.0,modalidad
2009-05-01,CNT EP,POSPAGO,60034.0,modalidad
2009-05-01,CNT EP,TTUP,34065.0,modalidad
