date,company,category,value,source
2016-02-01,CONECEL S.A.,CHECK_SUM_SERVICIOS,8600300.0,servicios
2016-02-01,OTECEL S.A.,TELEFONIA,2095014.0,servicios
2016-02-01,OTECEL S.A.,TELEFONIA E INTERNET,1871657.0,servicios
2016-02-01,OTECEL S.A.,INTERNET,38472.0,servicios
2016-02-01,OTECEL S.A.,DATOS,182954.0,servicios
2016-02-01,OTECEL S.A.,TOTAL_EMPRESA,4188097.0,servicios
2016-02-01,OTECEL S.A.,CHECK_SUM_SERVICIOS,4188097.0,servicios
2016-02-01,CNT EP,TELEFONIA,390876.0,servicios
2016-02-01,CNT EP,TELEFONIA E INTERNET,545912.0,servicios
2016-02-01,CNT EP,INTERNET,56435.0,servicios
2016-02-01,CNT EP,DATOS,140999.0,servicios
2016-02-01,CNT EP,TOTAL_EMPRESA,1134222.0,servicios
2016-02-01,CNT EP,CHECK_SUM_SERVICIOS,1134222.0,servicios
2016-02-01,TOTAL_MERCADO,TOTAL_MERCADO,13922619.0,servicios
2016-02-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,13922619.0,servicios
2016-03-01,CONECEL S.A.,TELEFONIA,5103519.0,servicios
2016-03-01,CONECEL S.A.,TELEFONIA E INTERNET,3086078.0,servicios
2016-03-01,CONECEL S.A.,INTERNET,338606.0,servicios
2016-03-01,CONECEL S.A.,DATOS,136753.0,servicios
2016-03-01,CONECEL S.A.,TOTAL_EMPRESA,8664956.0,servicios
2016-03-01,CONECEL S.A.,CHECK_SUM_SERVICIOS,8664956.0,servicios
2016-03-01,OTECEL S.A.,TELEFONIA,2055016.0,servicios
2016-03-01,OTECEL S.A.,TELEFONIA E INTERNET,1909079.0,servicios
2016-03-01,OTECEL S.A.,INTERNET,40659.0,servicios
2016-03-01,OTECEL S.A.,DATOS,178012.0,servicios
2016-03-01,OTECEL S.A.,TOTAL_EMPRESA,4182766.0,servicios
2016-03-01,OTECEL S.A.,CHECK_SUM_SERVICIOS,4182766.0,servicios
2016-03-01,CNT EP,TELEFONIA,417078.0,servicios
2016-03-01,CNT EP,TELEFONIA E INTERNET,561229.0,servicios
2016-03-01,CNT EP,INTERNET,55456.0,servicios
2016-03-01,CNT EP,DATOS,141184.0,servicios
2016-03-01,CNT EP,TOTAL_EMPRESA,1174947.0,servicios
2016-03-01,CNT EP,CHECK_SUM_SERVICIOS,1174947.0,servicios
2016-03-01,TOTAL_MERCADO,TOTAL_MERCADO,14022669.0,servicios
2016-03-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,14022669.0,servicios
2016-04-01,CONECEL S.A.,TELEFONIA,5160832.0,servicios
2016-04-01,CONECEL S.A.,TELEFONIA E INTERNET,3141517.0,servicios
2016-04-01,CONECEL S.A.,INTERNET,331834.0,servicios
2016-04-01,CONECEL S.A.,DATOS,129724.0,servicios
2016-04-01,CONECEL S.A.,TOTAL_EMPRESA,8763907.0,servicios
2016-04-01,CONECEL S.A.,CHECK_SUM_SERVICIOS,8763907.0,servicios
2016-04-01,OTECEL S.A.,TELEFONIA,2088941.0,servicios
2016-04-01,OTECEL S.A.,TELEFONIA E INTERNET,1902519.0,servicios
2016-04-01,OTECEL S.A.,INTERNET,38912.0,servicios
2016-04-01,OTECEL S.A.,DATOS,181577.0,servicios
2016-04-01,OTECEL S.A.,TOTAL_EMPRESA,4211949.0,servicios
2016-04-01,OTECEL S.A.,CHECK_SUM_SERVICIOS,4211949.0,servicios
2016-04-01,CNT EP,TELEFONIA,349276.0,servicios
